slug,name
wagnemo01,moritz wagner
wainris01,ish wainright
walkeja01,jabari walker
walkeja02,jarace walker
walkelo01,lonnie walker
wallaca01,cason wallace
walshjo01,jordan walsh
warretj01,t.j. warren
washipj01,p.j. washington
washity02,tyty washington
watanyu01,yuta watanabe
waterli01,lindy waters
watfotr01,trendon watford
watsope01,peyton watson
wembavi01,victor wembanyama
weslebl01,blake wesley
westbru01,russell westbrook
whiteco01,coby white
whitede01,derrick white
whitmca01,cam whitmore
wiggiaa01,aaron wiggins
wiggian01,andrew wiggins
wiggili01,lindell wigginton
willial06,alondes williams
willibr03,brandon williams
willigr01,grant williams
willija06,jalen williams
willija07,jaylin williams
willije02,jeenathan williams
willike04,kenrich williams
willima07,mark williams
willipa01,patrick williams
williro04,robert williams
willivi01,vince williams
willizi02,ziaire williams
willizi01,zion williamson
wilsodj01,d.j. wilson
wilsoja03,jalen wilson
windldy01,dylan windler
wisemja01,james wiseman
woodch01,christian wood
wrighde01,delon wright
youngth01,thaddeus young
youngtr01,trae young
yurtsom01,omer yurtseven
zelleco01,cody zeller
zubaciv01,ica zubac
